"Language Route","Language Route"
"Add","Add"
"Save And Continue Edit","Save And Continue Edit"
"Save Translation","Save Translation"
"Delete Translation","Delete Translation"
"Type","Type"
"Value","Value"
"Translation","Translation"
"Action","Action"
"Route Part","Route Part"
"Original Value","Original Value"
"Translation does not exist","Translation does not exist"
"Route","Route"
"Controller","Controller"
"Action","Action"
"Enable route translation","Enable route translation"
"Activates translation of routes by module language routes","Activates translation of routes by module language routes"
"Forward to translated route","Forward to translated route"
"Forward the user to the translated rule when accessing old url","Forward the user to the translated rule when accessing old url"
